==== Kolmogorov Complexity Constraint Portfolio Optimization ====
Initial weights: [0.2 0.2 0.2 0.2 0.2]
lambda: 0.5, gamma: 0.01, eta: 0.01, lr: 0.01, epochs: 100

Epoch 1: Weights: [0.19524890357572486, 0.1965466513041406, 0.19778107229875677, 0.20577625805518396, 0.20464711476619377], Objective: 0.890859, Penalty: 0.060000, Sparsity: 5
Epoch 2: Weights: [0.1900582238262558, 0.19271724008014532, 0.19539829295568584, 0.21212773904397594, 0.20969850409393712], Objective: 0.881640, Penalty: 0.060000, Sparsity: 5
Epoch 3: Weights: [0.18439299789429728, 0.18847639148033687, 0.1928428781417052, 0.21910438126061701, 0.21518335122304355], Objective: 0.871661, Penalty: 0.060000, Sparsity: 5
Epoch 4: Weights: [0.17821668879551372, 0.1837864697409758, 0.19010619350896707, 0.22675891069463433, 0.22113173725990914], Objective: 0.860881, Penalty: 0.060000, Sparsity: 5
Epoch 5: Weights: [0.17149137675574969, 0.17860766006521864, 0.18717989574001884, 0.23514666063118342, 0.2275744068078294], Objective: 0.849261, Penalty: 0.060000, Sparsity: 5
Epoch 6: Weights: [0.16417801823125336, 0.17289811131549426, 0.18405609794323388, 0.24432530146307288, 0.2345424710469456], Objective: 0.836764, Penalty: 0.060000, Sparsity: 5
Epoch 7: Weights: [0.156236781937261, 0.16661415049050896, 0.1807275600396326, 0.2543544662258049, 0.24206704130679269], Objective: 0.823361, Penalty: 0.060000, Sparsity: 5
Epoch 8: Weights: [0.14762747085715142, 0.15971058028047005, 0.1771879046368648, 0.2652952573160575, 0.2501787869094563], Objective: 0.809025, Penalty: 0.060000, Sparsity: 5
Epoch 9: Weights: [0.13831003827491586, 0.15214107083260103, 0.1734318580021748, 0.27720962053641124, 0.258907412353897], Objective: 0.793738, Penalty: 0.060000, Sparsity: 5
Epoch 10: Weights: [0.12824520422139526, 0.14385865605499232, 0.16945551460151675, 0.29015957424438693, 0.26828105087770876], Objective: 0.777490, Penalty: 0.060000, Sparsity: 5
Epoch 11: Weights: [0.11739517620468096, 0.13481634316612479, 0.16525662225179483, 0.3042062842001301, 0.2783255741772693], Objective: 0.760282, Penalty: 0.060000, Sparsity: 5
Epoch 12: Weights: [0.10572447457950666, 0.12496784158711825, 0.16083488324040074, 0.3194089789212267, 0.28906382167174766], Objective: 0.742128, Penalty: 0.060000, Sparsity: 5
Epoch 13: Weights: [0.09320085830973823, 0.11426841352109882, 0.15619226482885243, 0.33582370614308815, 0.3005147571972225], Objective: 0.723054, Penalty: 0.060000, Sparsity: 5
Epoch 14: Weights: [0.07979634116653693, 0.10267584356142008, 0.15133331043620102, 0.3535019384522249, 0.31269256638361714], Objective: 0.703102, Penalty: 0.060000, Sparsity: 5
Epoch 15: Weights: [0.06548828165013637, 0.09015151838605069, 0.14626544059330818, 0.3724890452934063, 0.3256057140770985], Objective: 0.682330, Penalty: 0.060000, Sparsity: 5
Epoch 16: Weights: [0.05026052231651625, 0.07666160010762489, 0.14099923061557523, 0.3928226591730301, 0.3392559877872536], Objective: 0.660813, Penalty: 0.060000, Sparsity: 5
Epoch 17: Weights: [0.03410454607215283, 0.062178268379989396, 0.1355486500482812, 0.41453097560654784, 0.3536375598930287], Objective: 0.638645, Penalty: 0.060000, Sparsity: 5
Epoch 18: Weights: [0.01702060887668107, 0.0466809973074581, 0.12993124752341687, 0.4376310385651974, 0.3687361077272465], Objective: 0.615936, Penalty: 0.060000, Sparsity: 5
Epoch 19: Weights: [0.0, 0.03012826231871794, 0.12404654961253883, 0.4616740807715195, 0.38415110729722374], Objective: 0.583286, Penalty: 0.050000, Sparsity: 4
Epoch 20: Weights: [0.0, 0.012337579591741775, 0.11595718266539157, 0.4785225101684217, 0.393182727574445], Objective: 0.568968, Penalty: 0.050000, Sparsity: 4
Epoch 21: Weights: [0.0, 0.0, 0.10688687314795166, 0.49309559996491187, 0.4000175268871365], Objective: 0.548091, Penalty: 0.040000, Sparsity: 3
Epoch 22: Weights: [0.0, 0.0, 0.09628498763443474, 0.5018478978997692, 0.401867114465796], Objective: 0.544674, Penalty: 0.040000, Sparsity: 3
Epoch 23: Weights: [0.0, 0.0, 0.08543809112144973, 0.5108816808287305, 0.40368022804981984], Objective: 0.541320, Penalty: 0.040000, Sparsity: 3
Epoch 24: Weights: [0.0, 0.0, 0.0743450663655107, 0.5202023829573227, 0.4054525506771665], Objective: 0.538038, Penalty: 0.040000, Sparsity: 3
Epoch 25: Weights: [0.0, 0.0, 0.06300507557444752, 0.5298153095628104, 0.4071796148627421], Objective: 0.534836, Penalty: 0.040000, Sparsity: 3
Epoch 26: Weights: [0.0, 0.0, 0.051417574101616015, 0.5397256201391251, 0.4088568057592589], Objective: 0.531723, Penalty: 0.040000, Sparsity: 3
Epoch 27: Weights: [0.0, 0.0, 0.03958232378873496, 0.5499383112064276, 0.41047936500483745], Objective: 0.528707, Penalty: 0.040000, Sparsity: 3
Epoch 28: Weights: [0.0, 0.0, 0.027499405869690786, 0.5604581988515622, 0.41204239527874703], Objective: 0.525797, Penalty: 0.040000, Sparsity: 3
Epoch 29: Weights: [0.0, 0.0, 0.015169233344810584, 0.5712899010718656, 0.4135408655833238], Objective: 0.523001, Penalty: 0.040000, Sparsity: 3
Epoch 30: Weights: [0.0, 0.0, 0.0, 0.5839517515496652, 0.41604824845033483], Objective: 0.510097, Penalty: 0.030000, Sparsity: 2
Epoch 31: Weights: [0.0, 0.0, 0.0, 0.587891394708893, 0.4121086052911071], Objective: 0.508637, Penalty: 0.030000, Sparsity: 2
Epoch 32: Weights: [0.0, 0.0, 0.0, 0.5919135367496894, 0.40808646325031056], Objective: 0.507157, Penalty: 0.030000, Sparsity: 2
Epoch 33: Weights: [0.0, 0.0, 0.0, 0.5960198058484499, 0.40398019415155], Objective: 0.505655, Penalty: 0.030000, Sparsity: 2
Epoch 34: Weights: [0.0, 0.0, 0.0, 0.6002118579981545, 0.39978814200184554], Objective: 0.504132, Penalty: 0.030000, Sparsity: 2
Epoch 35: Weights: [0.0, 0.0, 0.0, 0.6044913772927156, 0.39550862270728443], Objective: 0.502588, Penalty: 0.030000, Sparsity: 2
Epoch 36: Weights: [0.0, 0.0, 0.0, 0.6088600762050089, 0.39113992379499113], Objective: 0.501023, Penalty: 0.030000, Sparsity: 2
Epoch 37: Weights: [0.0, 0.0, 0.0, 0.6133196958580146, 0.38668030414198545], Objective: 0.499437, Penalty: 0.030000, Sparsity: 2
Epoch 38: Weights: [0.0, 0.0, 0.0, 0.6178720062884768, 0.38212799371152323], Objective: 0.497831, Penalty: 0.030000, Sparsity: 2
Epoch 39: Weights: [0.0, 0.0, 0.0, 0.6225188067024624, 0.37748119329753754], Objective: 0.496204, Penalty: 0.030000, Sparsity: 2
Epoch 40: Weights: [0.0, 0.0, 0.0, 0.6272619257221749, 0.37273807427782507], Objective: 0.494556, Penalty: 0.030000, Sparsity: 2
Epoch 41: Weights: [0.0, 0.0, 0.0, 0.632103221623354, 0.367896778376646], Objective: 0.492888, Penalty: 0.030000, Sparsity: 2
Epoch 42: Weights: [0.0, 0.0, 0.0, 0.6370445825625651, 0.36295541743743487], Objective: 0.491199, Penalty: 0.030000, Sparsity: 2
Epoch 43: Weights: [0.0, 0.0, 0.0, 0.6420879267936568, 0.3579120732063432], Objective: 0.489491, Penalty: 0.030000, Sparsity: 2
Epoch 44: Weights: [0.0, 0.0, 0.0, 0.6472352028726337, 0.35276479712736625], Objective: 0.487763, Penalty: 0.030000, Sparsity: 2
Epoch 45: Weights: [0.0, 0.0, 0.0, 0.6524883898501699, 0.3475116101498301], Objective: 0.486016, Penalty: 0.030000, Sparsity: 2
Epoch 46: Weights: [0.0, 0.0, 0.0, 0.6578494974509532, 0.3421505025490469], Objective: 0.484250, Penalty: 0.030000, Sparsity: 2
Epoch 47: Weights: [0.0, 0.0, 0.0, 0.6633205662390267, 0.3366794337609733], Objective: 0.482465, Penalty: 0.030000, Sparsity: 2
Epoch 48: Weights: [0.0, 0.0, 0.0, 0.6689036677682617, 0.33109633223173823], Objective: 0.480662, Penalty: 0.030000, Sparsity: 2
Epoch 49: Weights: [0.0, 0.0, 0.0, 0.6746009047170671, 0.32539909528293287], Objective: 0.478841, Penalty: 0.030000, Sparsity: 2
Epoch 50: Weights: [0.0, 0.0, 0.0, 0.6804144110064101, 0.3195855889935899], Objective: 0.477002, Penalty: 0.030000, Sparsity: 2
Epoch 51: Weights: [0.0, 0.0, 0.0, 0.6863463519001924, 0.3136536480998075], Objective: 0.475147, Penalty: 0.030000, Sparsity: 2
Epoch 52: Weights: [0.0, 0.0, 0.0, 0.6923989240869958, 0.30760107591300423], Objective: 0.473276, Penalty: 0.030000, Sparsity: 2
Epoch 53: Weights: [0.0, 0.0, 0.0, 0.6985743557421769, 0.30142564425782326], Objective: 0.471389, Penalty: 0.030000, Sparsity: 2
Epoch 54: Weights: [0.0, 0.0, 0.0, 0.7048749065692643, 0.2951250934307357], Objective: 0.469487, Penalty: 0.030000, Sparsity: 2
Epoch 55: Weights: [0.0, 0.0, 0.0, 0.7113028678195756, 0.28869713218042437], Objective: 0.467570, Penalty: 0.030000, Sparsity: 2
Epoch 56: Weights: [0.0, 0.0, 0.0, 0.7178605622889397, 0.2821394377110603], Objective: 0.465641, Penalty: 0.030000, Sparsity: 2
